seed,full_pr_auc,full_std,h2_only_pr_auc,null_mean,null_std,perm_p,tio2_drop,beats_all_baselines,verdict
42,0.088972,0.080063,0.110579,0.112697,0.056903,0.564356,-0.002992,False,NO_INFERENCE
1,0.09425,0.073277,0.109843,0.126804,0.057181,0.663366,0.009215,False,NO_INFERENCE
7,0.100626,0.089074,0.110515,0.119198,0.061096,0.524752,0.000602,False,NO_INFERENCE
13,0.08601,0.077034,0.107428,0.11077,0.050924,0.633663,0.001527,False,NO_INFERENCE
23,0.089635,0.075198,0.11014,0.117341,0.06187,0.613861,0.001151,False,NO_INFERENCE
71,0.092397,0.09231,0.110117,0.111306,0.048722,0.613861,0.008191,False,NO_INFERENCE
101,0.091164,0.068719,0.110362,0.113863,0.055708,0.60396,0.005828,False,NO_INFERENCE
202,0.096334,0.088556,0.108351,0.11992,0.059318,0.594059,0.006795,False,NO_INFERENCE
303,0.081209,0.063731,0.109949,0.115738,0.052395,0.693069,-0.01097,False,NO_INFERENCE
777,0.095514,0.089134,0.108837,0.116379,0.054226,0.60396,0.012377,False,NO_INFERENCE
